trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
436,False,"{'e': 0.01277838764953576, 'a': 0.5}",20,13,12.239119942271392,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
437,False,"{'e': 0.012651240568005305, 'a': 0.5}",25,13,22.743297632929796,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
438,False,"{'e': 0.012525358621074385, 'a': 0.5}",25,8,31.331998938751912,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
439,False,"{'e': 0.012400729220443406, 'a': 0.5}",25,18,14.968494087317453,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
440,False,"{'e': 0.012277339903068436, 'a': 0.5}",25,13,15.620250165625194,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
441,False,"{'e': 0.012155178329914935, 'a': 0.5}",20,13,12.089953265880276,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
442,False,"{'e': 0.012034232284723775, 'a': 0.5}",20,12,14.718906845681767,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
443,False,"{'e': 0.011914489672789647, 'a': 0.5}",35,24,22.693622045625855,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
444,False,"{'e': 0.011795938519751562, 'a': 0.5}",20,10,21.378222217571043,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
445,False,"{'e': 0.011678566970395442, 'a': 0.5}",20,16,9.559583421784456,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
446,False,"{'e': 0.011562363287468536, 'a': 0.5}",20,9,20.27654731278738,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
447,False,"{'e': 0.01144731585050571, 'a': 0.5}",25,15,19.926773281562134,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
448,False,"{'e': 0.011333413154667387, 'a': 0.5}",20,16,9.193838209952695,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
449,False,"{'e': 0.011220643809589084, 'a': 0.5}",25,11,27.409458658823986,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
450,False,"{'e': 0.011108996538242306, 'a': 0.5}",20,0,36.169613752862034,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
451,False,"{'e': 0.010998460175806881, 'a': 0.5}",20,13,9.278551962306906,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
452,False,"{'e': 0.01088902366855444, 'a': 0.5}",20,9,20.702213081215586,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
453,False,"{'e': 0.010780676072743084, 'a': 0.5}",35,18,29.32809767685946,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
454,False,"{'e': 0.010673406553522925, 'a': 0.5}",25,14,22.561783083077454,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
455,False,"{'e': 0.010567204383852655, 'a': 0.5}",35,21,26.118089691914783,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
456,False,"{'e': 0.010462058943426795, 'a': 0.5}",20,14,12.912192056829424,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
457,False,"{'e': 0.010357959717613696, 'a': 0.5}",20,11,19.29386519082202,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
458,False,"{'e': 0.010254896296404022, 'a': 0.5}",25,20,9.391653497770767,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
459,False,"{'e': 0.010152858373369763, 'a': 0.5}",25,14,22.692772898358328,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
460,False,"{'e': 0.010051835744633576, 'a': 0.5}",35,18,36.69608042293283,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
461,False,"{'e': 0.00995181830784842, 'a': 0.5}",30,13,32.71000282625977,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
462,False,"{'e': 0.009852796061187257, 'a': 0.5}",30,14,26.48264968626381,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
463,False,"{'e': 0.009754759102342903, 'a': 0.5}",20,9,22.340036384087895,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
464,False,"{'e': 0.009657697627537777, 'a': 0.5}",20,12,16.064330413351364,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
465,False,"{'e': 0.009561601930543505, 'a': 0.5}",20,5,31.882742331163442,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
466,False,"{'e': 0.009466462401710323, 'a': 0.5}",20,0,33.77368176756991,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
467,False,"{'e': 0.009372269527006058, 'a': 0.5}",25,3,41.54822651555364,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
468,False,"{'e': 0.009279013887064744, 'a': 0.5}",20,7,13.133098645868813,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
469,False,"{'e': 0.009186686156244664, 'a': 0.5}",25,15,21.80133562711504,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
470,False,"{'e': 0.009095277101695816, 'a': 0.5}",20,9,22.347148829100156,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
471,False,"{'e': 0.00900477758243656, 'a': 0.5}",25,13,25.540118355789918,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
472,False,"{'e': 0.008915178548439553, 'a': 0.5}",25,13,12.01147393810983,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
473,False,"{'e': 0.008826471039726723, 'a': 0.5}",20,13,15.946736148415487,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
474,False,"{'e': 0.00873864618547329, 'a': 0.5}",30,8,37.03874436383681,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
475,False,"{'e': 0.008651695203120634, 'a': 0.5}",25,8,32.21008060025814,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
476,False,"{'e': 0.00856560939749806, 'a': 0.5}",25,11,26.78649361923565,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
477,False,"{'e': 0.00848038015995326, 'a': 0.5}",20,16,7.951236950099144,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
478,False,"{'e': 0.00839599896749147, 'a': 0.5}",20,15,10.224895264700747,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
479,False,"{'e': 0.008312457381923119, 'a': 0.5}",25,8,29.94008723298332,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
480,False,"{'e': 0.00822974704902003, 'a': 0.5}",20,6,27.748408476351255,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
481,False,"{'e': 0.008147859697679982, 'a': 0.5}",20,8,23.28069237124231,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
482,False,"{'e': 0.008066787139099614, 'a': 0.5}",35,18,30.99279310886367,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
483,False,"{'e': 0.007986521265955502, 'a': 0.5}",25,12,26.625640216224642,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
484,False,"{'e': 0.007907054051593441, 'a': 0.5}",25,14,20.079277317243257,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
485,False,"{'e': 0.007828377549225767, 'a': 0.5}",20,13,11.384786867272283,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
486,False,"{'e': 0.007750483891136692, 'a': 0.5}",25,14,23.397444668029912,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
487,False,"{'e': 0.007673365287895489, 'a': 0.5}",20,16,7.253137725118927,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
488,False,"{'e': 0.007597014027577567, 'a': 0.5}",20,11,19.823600066048574,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
489,False,"{'e': 0.00752142247499327, 'a': 0.5}",25,0,43.31044917544895,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
